Metabolite,PC3_con1,PC3_con2,PC3_con3,PC3_con4,PC3_con5,PC3_con6,PC3_S1,PC3_S2,PC3_S3,PC3_S4,PC3_S5,PC3_S6
metab_0,3869.692388,3369.154285,3279.88914,2660.804486,3028.833415,30910.84247,2329.258382,1805.923607,2051.693855,2447.565979,1848.639059,1869.491098
metab_1,10238.65895,8460.252306,8164.346793,8041.39065,10212.28914,3054.517405,8544.469489,6669.390164,7553.563384,9951.33947,8415.675587,8326.443258
metab_2,551584.3941,536090.021,477740.7281,469045.419,513194.3427,545751.2858,410315.7743,377813.8526,365303.1439,456155.0227,353696.6539,383479.4376
metab_3,166400.1335,165339.7808,152145.5516,147291.1229,161675.6342,153272.8606,130722.0512,122274.632,115713.1539,144743.4693,112821.2703,122489.1031
metab_4,22084.17235,39712.48246,40636.9107,33551.76397,36928.87989,17189.1498,18257.40227,20568.76916,21970.19742,32014.59664,22685.79434,31315.77908
metab_5,21258.0854,18751.85376,16855.95681,16794.60086,17609.59523,93479.25419,12665.09669,11094.80989,10579.70829,13734.80731,10036.78897,11124.43251
metab_6,3894.447706,3685.71012,3157.94237,2995.775102,3390.281614,28118.87592,3320.665887,2159.30782,2931.31313,3019.397955,2346.30983,2205.280169
metab_7,795.5056118,659.211631,737.53768,674.8195635,761.1563116,14333.51424,692.8028001,608.1643626,571.5888322,716.5591578,551.804621,588.5350295
metab_8,12041.71523,11087.69863,10996.68255,10261.16739,11473.88149,258442.1103,10056.00537,8811.09281,9343.674989,11710.15998,9049.978479,9939.825736
metab_9,3453.264682,3177.245756,2835.766046,2917.335436,3090.472089,35191.29722,2481.327322,2228.484132,1984.409725,2653.053718,2359.790482,2507.282476
metab_10,27193.01384,26566.32667,25417.84985,24030.26377,25935.93319,334791.4504,22883.77827,21431.11411,22276.07689,26861.27456,21485.32695,23946.91171
metab_11,586.9300756,497.8497626,494.2491176,480.3588683,590.072655,22366.37319,375.2132246,417.0022326,390.6313172,455.9143267,409.3133859,477.2452015
metab_12,1504.292829,1441.750965,1368.058651,1449.18271,1435.271447,1326.356821,770.2293454,756.108173,776.0342487,980.8416441,727.3401724,899.1011218
metab_13,96.65295733,0,43.01212437,0,84.28971663,6895.575344,122.7432532,122.7492414,127.8612242,32.34621857,51.50321857,29.3441544
metab_14,16768.31215,14445.89903,13915.31983,13088.29281,14918.24417,280475.9428,11827.12167,10438.98595,10809.93144,13184.34061,10479.52953,11416.32212
metab_15,534931.3829,507743.5542,459775.3679,473035.2672,504208.6042,4263769.793,433157.4412,403753.7485,396007.2353,510336.8158,390931.7647,438676.8941
metab_16,226.4977889,350.5844816,191.5728718,109.3548799,174.7441253,28674.27627,376.6899994,327.8819781,284.7232108,454.595831,382.7755636,640.3146759
metab_17,85648.51947,81581.33557,71175.05307,71056.52501,76669.66289,347117.8885,54924.31106,50438.22397,46969.38729,60311.29409,44501.0304,49341.15757
metab_18,13273.9114,11128.1045,10174.33603,9424.529977,11968.61493,106983.5999,7882.314866,6882.948282,6932.4992,8511.549697,6459.560005,6494.289788
metab_19,361.0048223,95.37438074,348.7049642,487.3712599,250.9826383,4206.468266,0,215.1783835,227.1877781,179.9081841,244.1696751,164.4050289
metab_20,4738.574718,4789.620377,4307.127803,4244.477759,4659.982819,51657.34726,3666.405039,2830.727031,2922.116772,3703.727074,2715.456713,2905.192863
metab_21,223.8466813,0,126.9368213,123.2700984,0,17119.82005,101.5510182,185.5890453,85.58529271,118.6420259,33.79615552,96.64597436
metab_22,764.5075691,906.9101716,936.6645474,666.6798443,1240.13337,15646.37711,846.6943006,1002.38525,854.7178518,1052.453938,995.2728915,878.6030105
metab_23,765.0874001,932.5634725,695.2314514,619.2143651,912.7331644,22125.31511,816.9910908,837.5100397,676.3246191,908.2851093,879.4190375,886.7780613
metab_24,12588.19301,28777.75267,29492.76537,22924.73846,26352.49559,8473.731741,13551.48356,13209.40814,12338.04787,17105.33005,13247.60226,17569.02582
metab_25,1450.763845,1450.190225,1283.384569,1406.668339,1446.488575,1277.293686,814.8478892,743.1914205,820.7096543,910.5784735,690.7798243,825.8393256
metab_26,59392.39613,53761.65206,54424.08717,54171.40882,63703.62625,3665.626679,38925.16667,37555.43112,37095.97974,47158.2624,36389.34147,41319.33507
metab_27,7691.861154,7476.355587,6011.842387,6508.14539,6649.523681,8167.693461,6282.456044,6841.655579,6484.517834,8802.938532,6919.096223,7413.61883
metab_28,78737.22116,77402.13468,69727.11173,71055.53816,73267.80142,69488.20894,58698.37522,56206.07093,55620.87652,64725.89894,52465.87796,52952.0179
